UMAP1,UMAP2,label,time_bin,sample_index,speaker_id,gender
-9.765661239624023,-13.45893669128418,0,0,0,9,male
-11.544157981872559,-13.526301383972168,0,1,0,9,male
-12.139161109924316,-13.335500717163086,0,2,0,9,male
-12.22523307800293,-13.176352500915527,0,3,0,9,male
-11.560738563537598,-13.041069030761719,0,4,0,9,male
-10.49943733215332,-12.832070350646973,0,5,0,9,male
-8.915385246276855,-12.42527961730957,0,6,0,9,male
-7.295987606048584,-11.760659217834473,0,7,0,9,male
-1.40263831615448,-10.20450210571289,0,8,0,9,male
2.6389846801757812,-3.4667561054229736,0,9,0,9,male
-9.992061614990234,-13.78780746459961,0,0,1,9,male
-11.917604446411133,-13.816173553466797,0,1,1,9,male
-12.281686782836914,-13.59339714050293,0,2,1,9,male
-12.357169151306152,-13.340095520019531,0,3,1,9,male
-11.411040306091309,-13.4722261428833,0,4,1,9,male
-9.982303619384766,-13.282134056091309,0,5,1,9,male
-8.388851165771484,-12.610810279846191,0,6,1,9,male
-6.787924289703369,-11.681443214416504,0,7,1,9,male
-0.786037027835846,-10.18191909790039,0,8,1,9,male
2.960299015045166,-2.8754093647003174,0,9,1,9,male
-9.888320922851562,-13.512741088867188,0,0,2,9,male
-11.973628044128418,-13.564270973205566,0,1,2,9,male
-12.343852043151855,-13.45345687866211,0,2,2,9,male
-12.272506713867188,-13.273858070373535,0,3,2,9,male
-11.154319763183594,-13.238975524902344,0,4,2,9,male
-9.401844024658203,-12.847870826721191,0,5,2,9,male
-7.559150695800781,-12.145702362060547,0,6,2,9,male
-1.9416003227233887,-10.637226104736328,0,7,2,9,male
2.344294786453247,-4.188421249389648,0,8,2,9,male
3.7498302459716797,-0.9768392443656921,0,9,2,9,male
-8.161964416503906,-8.701423645019531,0,0,3,2,female
-9.414562225341797,-7.306887626647949,0,1,3,2,female
-8.791998863220215,-5.983161449432373,0,2,3,2,female
-8.790478706359863,-5.972922325134277,0,3,3,2,female
-8.992578506469727,-6.83445405960083,0,4,3,2,female
-8.7795991897583,-8.242875099182129,0,5,3,2,female
-7.873427391052246,-8.904544830322266,0,6,3,2,female
-6.9243597984313965,-9.623971939086914,0,7,3,2,female
-3.9520294666290283,-9.447649955749512,0,8,3,2,female
1.3653253316879272,-4.407474517822266,0,9,3,2,female
-8.15892505645752,-12.845433235168457,0,0,4,7,male
-10.664414405822754,-14.360877990722656,0,1,4,7,male
-12.298883438110352,-15.2091703414917,0,2,4,7,male
-12.260456085205078,-15.209614753723145,0,3,4,7,male
-11.364913940429688,-14.409493446350098,0,4,4,7,male
-9.926475524902344,-13.384454727172852,0,5,4,7,male
-8.275594711303711,-12.68499755859375,0,6,4,7,male
-6.709237575531006,-12.101512908935547,0,7,4,7,male
-0.6674391627311707,-10.374981880187988,0,8,4,7,male
3.140634059906006,-3.0694398880004883,0,9,4,7,male
-6.57255744934082,-11.857407569885254,0,0,5,7,male
-9.211588859558105,-13.423819541931152,0,1,5,7,male
